Comment,Designator,Footprint,LCSC
100nF,"C10,C11,C2,C3,C7,C9",C_0402_1005Metric,C1525
10uF,CR1,C_0402_1005Metric,C15525
USB_C_Receptacle_USB2.0_16P,USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
4.7uF,"C1,C8",C_0402_1005Metric,C23733
100k,RR3,R_0402_1005Metric,C25741
10k,RR2,R_0402_1005Metric,C25744
33k,RR1,R_0402_1005Metric,C25779
4k7,R3,R_0402_1005Metric,C25900
5k1,"R1,R2",R_0402_1005Metric,C25905
PRTR5V0U2X,D1,SOT-143,C2827688
TS-1187A-B-A-B,SWR1,SW_SPST_TL3342,C318884
SK6812MINI-E,"RGB1,RGB2",LED_6028R,C524051
1uF,"C4,C5,C6,CR2",C_0402_1005Metric,C52923
XC6206P332MR,U1,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,C69688
1N4148W,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92",D_SOD-123,C81598
STM32F072CBT6,U2,LQFP-48_7x7mm_P0.5mm,C81720
2N7002,QR1,SOT-23,C8545
